order_code,order_time,customer_code,employee_code,amount_due,amount_paid,status
DH000023,2026-05-27 10:24:14,CUST-0261,EMP-009,0.0,179000.0,Hoàn thành
DH000024,2026-03-10 07:31:10,CUST-0245,EMP-025,0.0,730000.0,Hoàn thành
DH000025,2026-07-21 01:20:47,CUST-0308,EMP-013,432000.0,0.0,Đã hủy
DH000026,2026-03-06 02:30:07,CUST-0199,EMP-017,0.0,365000.0,Hoàn thành
DH000027,2026-07-04 18:54:38,CUST-0314,EMP-011,0.0,554000.0,Hoàn thành
DH000028,2026-05-24 17:16:55,CUST-0271,EMP-002,114000.0,114000.0,Đang xử lý
DH000029,2026-04-23 20:36:40,CUST-0165,EMP-002,611000.0,0.0,Đã hủy
DH000030,2026-05-30 13:07:06,CUST-0299,EMP-015,2093000.0,0.0,Đã hủy
DH000031,2026-07-18 19:11:27,CUST-0139,EMP-001,2164000.0,0.0,Đã hủy
DH000032,2026-06-13 13:47:28,CUST-0084,EMP-002,1088000.0,0.0,Đã hủy
DH000033,2026-02-20 02:49:05,CUST-0211,EMP-022,0.0,948000.0,Hoàn thành
DH000034,2026-07-24 01:32:04,CUST-0321,EMP-016,112000.0,0.0,Đã hủy
DH000035,2026-04-13 00:17:38,CUST-0135,EMP-001,219000.0,219000.0,Đang xử lý
DH000036,2026-03-11 22:33:56,CUST-0104,EMP-015,0.0,1020000.0,Hoàn thành
DH000037,2026-02-28 02:54:57,CUST-0184,EMP-023,0.0,1284000.0,Hoàn thành
DH000038,2026-04-26 00:25:32,CUST-0279,EMP-003,0.0,341000.0,Hoàn thành
DH000039,2026-02-10 03:07:03,CUST-0348,EMP-004,0.0,226000.0,Hoàn thành
DH000040,2026-04-17 19:02:05,CUST-0113,EMP-025,0.0,1642000.0,Hoàn thành
DH000041,2026-03-03 20:06:32,CUST-0193,EMP-004,0.0,934000.0,Hoàn thành
DH000042,2026-02-04 10:03:19,CUST-0136,EMP-019,0.0,2755000.0,Hoàn thành
DH000043,2026-03-20 08:15:32,CUST-0049,EMP-014,290000.0,290000.0,Đang xử lý
DH000044,2026-03-15 10:30:41,CUST-0105,EMP-022,0.0,620000.0,Hoàn thành
DH000045,2026-06-28 10:52:22,CUST-0238,EMP-024,916000.0,0.0,Đã hủy
DH000046,2026-02-12 18:50:34,CUST-0083,EMP-021,2274000.0,0.0,Đã hủy
DH000047,2026-02-28 04:38:44,CUST-0266,EMP-014,1172000.0,1172000.0,Đang xử lý
DH000048,2026-03-14 01:26:21,CUST-0119,EMP-018,0.0,3212000.0,Hoàn thành
DH000049,2026-05-17 00:32:08,CUST-0174,EMP-008,2275000.0,0.0,Đã hủy
DH000050,2026-06-10 19:35:47,CUST-0233,EMP-016,0.0,1641000.0,Hoàn thành
DH000051,2026-07-01 16:33:19,CUST-0266,EMP-025,0.0,320000.0,Hoàn thành
DH000052,2026-02-22 18:12:07,CUST-0193,EMP-018,0.0,2410000.0,Hoàn thành
DH000053,2026-02-11 14:30:38,CUST-0346,EMP-006,1399000.0,0.0,Đã hủy
DH000054,2026-03-18 07:24:13,CUST-0054,EMP-022,738000.0,0.0,Đã hủy
DH000055,2026-04-13 03:19:49,CUST-0168,EMP-019,1888000.0,0.0,Đã hủy
DH000056,2026-05-11 02:04:47,CUST-0320,EMP-020,403500.0,403500.0,Đang xử lý
DH000057,2026-06-09 04:49:50,CUST-0018,EMP-020,0.0,2511000.0,Hoàn thành
DH000058,2026-04-01 10:44:02,CUST-0153,EMP-020,0.0,1538000.0,Hoàn thành
DH000059,2026-02-12 16:02:00,CUST-0336,EMP-015,290000.0,290000.0,Đang xử lý
DH000060,2026-04-28 14:37:27,CUST-0230,EMP-013,0.0,2282000.0,Hoàn thành
DH000061,2026-02-10 00:18:31,CUST-0195,EMP-025,0.0,2570000.0,Hoàn thành
DH000062,2026-07-11 06:51:37,CUST-0278,EMP-005,1905000.0,0.0,Đã hủy
DH000063,2026-03-04 22:58:56,CUST-0265,EMP-019,1288000.0,0.0,Đã hủy
DH000064,2026-06-07 08:46:09,CUST-0330,EMP-006,0.0,1737000.0,Hoàn thành
DH000065,2026-06-21 14:02:18,CUST-0340,EMP-012,1612000.0,0.0,Đã hủy
DH000066,2026-01-31 19:36:20,CUST-0292,EMP-002,0.0,296000.0,Hoàn thành
DH000067,2026-03-18 23:18:48,CUST-0176,EMP-012,510000.0,510000.0,Đang xử lý
DH000068,2026-04-12 09:19:32,CUST-0236,EMP-019,0.0,1132000.0,Hoàn thành
DH000069,2026-03-14 18:11:42,CUST-0096,EMP-021,0.0,2093000.0,Hoàn thành
DH000070,2026-07-19 22:13:05,CUST-0100,EMP-018,0.0,1102000.0,Hoàn thành
DH000071,2026-03-03 02:28:03,CUST-0349,EMP-011,1211500.0,1211500.0,Đang xử lý
DH000072,2026-04-14 05:59:31,CUST-0295,EMP-006,0.0,1889000.0,Hoàn thành
DH000073,2026-05-14 14:19:10,CUST-0259,EMP-004,1478000.0,0.0,Đã hủy
DH000074,2026-03-29 20:32:37,CUST-0198,EMP-018,0.0,2418000.0,Hoàn thành
DH000075,2026-03-26 09:47:23,CUST-0004,EMP-007,0.0,1163000.0,Hoàn thành
DH000076,2026-02-26 20:56:00,CUST-0307,EMP-016,0.0,1216000.0,Hoàn thành
DH000077,2026-03-19 03:05:40,CUST-0298,EMP-008,0.0,800000.0,Hoàn thành
DH000078,2026-03-26 14:16:09,CUST-0108,EMP-013,0.0,582000.0,Hoàn thành
DH000079,2026-02-15 16:31:55,CUST-0168,EMP-007,0.0,2387000.0,Hoàn thành
DH000080,2026-03-13 02:41:39,CUST-0269,EMP-004,712000.0,0.0,Đã hủy
DH000081,2026-07-09 06:18:21,CUST-0318,EMP-009,0.0,1862000.0,Hoàn thành
DH000082,2026-04-04 13:56:42,CUST-0019,EMP-025,0.0,981000.0,Hoàn thành
DH000083,2026-05-23 08:40:44,CUST-0288,EMP-002,0.0,1449000.0,Hoàn thành
DH000084,2026-05-08 03:49:38,CUST-0121,EMP-017,671000.0,671000.0,Đang xử lý
DH000085,2026-04-19 00:10:19,CUST-0286,EMP-025,1070000.0,0.0,Đã hủy
DH000086,2026-04-21 17:38:54,CUST-0231,EMP-018,557500.0,557500.0,Đang xử lý
DH000087,2026-04-01 08:42:13,CUST-0173,EMP-017,1171000.0,1171000.0,Đang xử lý
DH000088,2026-03-01 09:19:56,CUST-0315,EMP-010,0.0,765000.0,Hoàn thành
DH000089,2026-01-30 19:11:34,CUST-0220,EMP-011,0.0,595000.0,Hoàn thành
DH000090,2026-06-30 12:40:01,CUST-0022,EMP-005,344000.0,344000.0,Đang xử lý
DH000091,2026-05-30 15:48:31,CUST-0122,EMP-005,0.0,710000.0,Hoàn thành
DH000092,2026-04-01 21:01:40,CUST-0003,EMP-011,608000.0,0.0,Đã hủy
DH000093,2026-04-18 12:39:57,CUST-0325,EMP-021,0.0,1640000.0,Hoàn thành
DH000094,2026-06-14 01:04:44,CUST-0301,EMP-020,515000.0,0.0,Đã hủy
DH000095,2026-07-19 09:52:20,CUST-0217,EMP-015,1187000.0,0.0,Đã hủy
DH000096,2026-06-18 07:39:27,CUST-0188,EMP-017,0.0,471000.0,Hoàn thành
DH000097,2026-05-11 09:06:12,CUST-0089,EMP-023,0.0,1332000.0,Hoàn thành
DH000098,2026-07-15 11:42:41,CUST-0311,EMP-005,0.0,1523000.0,Hoàn thành
DH000099,2026-03-14 09:27:03,CUST-0047,EMP-017,696000.0,0.0,Đã hủy
DH000100,2026-05-09 06:31:52,CUST-0177,EMP-001,0.0,1641000.0,Hoàn thành
DH000101,2026-07-19 14:27:10,CUST-0091,EMP-006,1190000.0,1190000.0,Đang xử lý
DH000102,2026-03-18 10:46:02,CUST-0288,EMP-021,226000.0,0.0,Đã hủy
DH000103,2026-03-30 01:28:25,CUST-0293,EMP-002,0.0,1573000.0,Hoàn thành
DH000104,2026-02-05 04:17:15,CUST-0053,EMP-013,0.0,1832000.0,Hoàn thành
DH000105,2026-03-08 15:07:56,CUST-0235,EMP-022,0.0,1465000.0,Hoàn thành
DH000106,2026-03-02 04:02:22,CUST-0015,EMP-011,0.0,487000.0,Hoàn thành
DH000107,2026-02-14 10:38:56,CUST-0211,EMP-006,1476000.0,0.0,Đã hủy
DH000108,2026-05-12 19:05:48,CUST-0121,EMP-018,0.0,227000.0,Hoàn thành
DH000109,2026-04-06 11:46:09,CUST-0167,EMP-021,0.0,2523000.0,Hoàn thành
DH000110,2026-02-18 14:07:51,CUST-0137,EMP-014,1611000.0,0.0,Đã hủy
DH000111,2026-03-14 20:34:27,CUST-0202,EMP-010,0.0,2565000.0,Hoàn thành
DH000112,2026-05-23 01:51:17,CUST-0093,EMP-015,753000.0,0.0,Đã hủy
DH000113,2026-02-26 08:13:56,CUST-0226,EMP-003,0.0,1286000.0,Hoàn thành
DH000114,2026-05-01 01:55:55,CUST-0058,EMP-007,251500.0,251500.0,Đang xử lý
DH000115,2026-01-31 07:41:41,CUST-0067,EMP-005,0.0,908000.0,Hoàn thành
DH000116,2026-06-28 09:14:12,CUST-0204,EMP-024,0.0,2206000.0,Hoàn thành
DH000117,2026-07-16 16:25:32,CUST-0311,EMP-022,2290000.0,0.0,Đã hủy
DH000118,2026-05-05 17:48:46,CUST-0191,EMP-022,290000.0,290000.0,Đang xử lý
DH000119,2026-06-28 08:04:23,CUST-0032,EMP-025,0.0,488000.0,Hoàn thành
DH000120,2026-07-24 00:12:36,CUST-0155,EMP-008,2127000.0,0.0,Đã hủy
DH000121,2026-07-07 01:04:48,CUST-0035,EMP-012,0.0,339000.0,Hoàn thành
DH000122,2026-02-23 20:14:03,CUST-0012,EMP-025,0.0,1805000.0,Hoàn thành
DH000123,2026-03-20 16:36:43,CUST-0102,EMP-016,0.0,368000.0,Hoàn thành
DH000124,2026-04-16 13:36:14,CUST-0003,EMP-019,678000.0,0.0,Đã hủy
DH000125,2026-02-17 05:34:19,CUST-0048,EMP-020,0.0,1013000.0,Hoàn thành
DH000126,2026-02-25 10:23:55,CUST-0060,EMP-007,0.0,2513000.0,Hoàn thành
DH000127,2026-05-23 12:14:48,CUST-0028,EMP-004,0.0,584000.0,Hoàn thành
DH000128,2026-02-20 00:21:56,CUST-0207,EMP-004,0.0,220000.0,Hoàn thành
DH000129,2026-06-15 06:15:41,CUST-0229,EMP-005,999500.0,999500.0,Đang xử lý
DH000130,2026-06-16 13:23:59,CUST-0319,EMP-024,0.0,228000.0,Hoàn thành
DH000131,2026-04-01 08:50:01,CUST-0221,EMP-013,0.0,1973000.0,Hoàn thành
DH000132,2026-06-27 07:12:36,CUST-0077,EMP-025,193500.0,193500.0,Đang xử lý
DH000133,2026-06-28 05:44:50,CUST-0146,EMP-001,2872000.0,0.0,Đã hủy
DH000134,2026-05-21 15:54:29,CUST-0069,EMP-005,286500.0,286500.0,Đang xử lý
DH000135,2026-04-09 18:04:42,CUST-0180,EMP-024,0.0,2085000.0,Hoàn thành
DH000136,2026-07-04 18:35:55,CUST-0299,EMP-016,0.0,612000.0,Hoàn thành
DH000137,2026-03-20 08:35:09,CUST-0061,EMP-005,0.0,2152000.0,Hoàn thành
DH000138,2026-06-22 22:41:02,CUST-0199,EMP-010,0.0,341000.0,Hoàn thành
DH000139,2026-07-17 07:41:49,CUST-0133,EMP-003,0.0,846000.0,Hoàn thành
DH000140,2026-02-18 18:35:15,CUST-0028,EMP-014,591000.0,591000.0,Đang xử lý
DH000141,2026-05-26 03:34:08,CUST-0086,EMP-020,0.0,1838000.0,Hoàn thành
DH000142,2026-04-15 22:29:21,CUST-0303,EMP-001,0.0,170000.0,Hoàn thành
DH000143,2026-07-19 20:21:49,CUST-0272,EMP-021,0.0,756000.0,Hoàn thành
DH000144,2026-06-12 19:13:33,CUST-0114,EMP-023,139000.0,139000.0,Đang xử lý
DH000145,2026-05-25 12:14:51,CUST-0064,EMP-001,731000.0,731000.0,Đang xử lý
DH000146,2026-05-26 19:47:40,CUST-0217,EMP-010,0.0,2032000.0,Hoàn thành
DH000147,2026-07-08 15:51:35,CUST-0146,EMP-014,0.0,562000.0,Hoàn thành
DH000148,2026-07-07 08:28:19,CUST-0055,EMP-005,361000.0,361000.0,Đang xử lý
DH000149,2026-06-24 05:22:16,CUST-0285,EMP-002,0.0,825000.0,Hoàn thành
DH000150,2026-04-13 06:37:46,CUST-0052,EMP-015,236000.0,236000.0,Đang xử lý
DH000151,2026-02-03 03:28:47,CUST-0217,EMP-017,0.0,2292000.0,Hoàn thành
DH000152,2026-01-31 18:53:48,CUST-0076,EMP-019,0.0,1746000.0,Hoàn thành
DH000153,2026-02-03 02:40:28,CUST-0101,EMP-017,1271000.0,0.0,Đã hủy
DH000154,2026-02-10 08:18:16,CUST-0118,EMP-011,0.0,1632000.0,Hoàn thành
DH000155,2026-06-30 09:53:42,CUST-0154,EMP-007,292000.0,0.0,Đã hủy
DH000156,2026-05-15 14:32:33,CUST-0013,EMP-001,1048000.0,0.0,Đã hủy
DH000157,2026-06-11 10:57:28,CUST-0229,EMP-014,1215000.0,0.0,Đã hủy
DH000158,2026-06-05 04:09:48,CUST-0171,EMP-007,0.0,1780000.0,Hoàn thành
DH000159,2026-07-04 17:11:53,CUST-0202,EMP-014,0.0,566000.0,Hoàn thành
DH000160,2026-07-06 04:09:01,CUST-0269,EMP-008,0.0,1326000.0,Hoàn thành
DH000161,2026-04-18 12:06:36,CUST-0207,EMP-014,0.0,1012000.0,Hoàn thành
DH000162,2026-04-22 15:41:29,CUST-0060,EMP-002,1927000.0,0.0,Đã hủy
DH000163,2026-05-19 13:46:08,CUST-0336,EMP-009,0.0,1876000.0,Hoàn thành
DH000164,2026-06-12 07:05:45,CUST-0128,EMP-022,0.0,2259000.0,Hoàn thành
DH000165,2026-05-03 07:33:56,CUST-0313,EMP-020,0.0,1528000.0,Hoàn thành
DH000166,2026-05-31 16:51:52,CUST-0328,EMP-008,0.0,1310000.0,Hoàn thành
DH000167,2026-04-10 02:07:13,CUST-0062,EMP-014,675000.0,675000.0,Đang xử lý
DH000168,2026-03-08 20:47:41,CUST-0051,EMP-005,2206000.0,0.0,Đã hủy
DH000169,2026-07-06 05:11:29,CUST-0128,EMP-008,0.0,1781000.0,Hoàn thành
DH000170,2026-07-21 22:55:36,CUST-0299,EMP-019,0.0,2041000.0,Hoàn thành
DH000171,2026-02-21 23:16:03,CUST-0221,EMP-022,0.0,655000.0,Hoàn thành
DH000172,2026-07-04 01:26:56,CUST-0264,EMP-015,0.0,710000.0,Hoàn thành
DH000173,2026-06-03 04:11:10,CUST-0029,EMP-006,0.0,1996000.0,Hoàn thành
DH000174,2026-06-07 18:07:28,CUST-0121,EMP-012,227000.0,0.0,Đã hủy
DH000175,2026-01-30 05:17:35,CUST-0043,EMP-015,937000.0,937000.0,Đang xử lý
DH000176,2026-02-21 17:05:18,CUST-0156,EMP-018,0.0,860000.0,Hoàn thành
DH000177,2026-06-18 01:35:08,CUST-0268,EMP-017,0.0,2239000.0,Hoàn thành
DH000178,2026-03-17 06:12:03,CUST-0032,EMP-001,0.0,781000.0,Hoàn thành
DH000179,2026-04-09 16:55:59,CUST-0093,EMP-007,0.0,843000.0,Hoàn thành
DH000180,2026-07-17 21:09:15,CUST-0081,EMP-017,1662000.0,0.0,Đã hủy
DH000181,2026-06-20 22:08:38,CUST-0238,EMP-024,1922000.0,0.0,Đã hủy
DH000182,2026-04-04 17:35:17,CUST-0023,EMP-019,0.0,1260000.0,Hoàn thành
DH000183,2026-02-03 09:59:38,CUST-0182,EMP-014,1875000.0,0.0,Đã hủy
DH000184,2026-04-09 03:35:25,CUST-0171,EMP-024,229000.0,229000.0,Đang xử lý
DH000185,2026-06-04 23:23:57,CUST-0298,EMP-022,228000.0,0.0,Đã hủy
DH000186,2026-06-11 04:26:55,CUST-0310,EMP-014,1076000.0,1076000.0,Đang xử lý
DH000187,2026-04-23 20:15:06,CUST-0014,EMP-009,277000.0,277000.0,Đang xử lý
DH000188,2026-05-14 18:30:43,CUST-0006,EMP-005,122500.0,122500.0,Đang xử lý
DH000189,2026-05-18 11:49:26,CUST-0082,EMP-012,0.0,1689000.0,Hoàn thành
DH000190,2026-04-13 13:35:01,CUST-0137,EMP-018,0.0,2156000.0,Hoàn thành
DH000191,2026-06-21 01:35:11,CUST-0246,EMP-005,1236000.0,0.0,Đã hủy
DH000192,2026-03-08 12:15:29,CUST-0154,EMP-003,0.0,1647000.0,Hoàn thành
DH000193,2026-04-14 23:21:58,CUST-0105,EMP-023,0.0,1072000.0,Hoàn thành
DH000194,2026-04-02 05:24:46,CUST-0209,EMP-001,0.0,832000.0,Hoàn thành
DH000195,2026-05-05 02:28:33,CUST-0165,EMP-018,0.0,821000.0,Hoàn thành
DH000196,2026-06-20 14:18:50,CUST-0185,EMP-009,404000.0,404000.0,Đang xử lý
DH000197,2026-06-01 03:23:29,CUST-0220,EMP-011,0.0,950000.0,Hoàn thành
DH000198,2026-06-27 19:46:43,CUST-0141,EMP-001,1236000.0,0.0,Đã hủy
DH000199,2026-05-06 00:34:58,CUST-0034,EMP-025,0.0,1633000.0,Hoàn thành
DH000200,2026-02-23 02:44:02,CUST-0237,EMP-018,0.0,2078000.0,Hoàn thành
DH000201,2026-06-27 17:48:59,CUST-0265,EMP-004,0.0,2502000.0,Hoàn thành
DH000202,2026-04-17 20:21:55,CUST-0136,EMP-018,0.0,2358000.0,Hoàn thành
DH000203,2026-06-08 14:21:51,CUST-0291,EMP-010,0.0,1590000.0,Hoàn thành
DH000204,2026-02-16 08:29:16,CUST-0338,EMP-002,0.0,1874000.0,Hoàn thành
DH000205,2026-06-10 05:03:11,CUST-0185,EMP-008,1756000.0,0.0,Đã hủy
DH000206,2026-06-16 06:29:14,CUST-0217,EMP-022,0.0,358000.0,Hoàn thành
DH000207,2026-03-27 21:59:40,CUST-0107,EMP-014,0.0,941000.0,Hoàn thành
DH000208,2026-03-17 08:05:13,CUST-0264,EMP-019,850000.0,850000.0,Đang xử lý
DH000209,2026-01-30 16:17:30,CUST-0004,EMP-002,301000.0,301000.0,Đang xử lý
DH000210,2026-03-23 19:47:53,CUST-0092,EMP-002,1770000.0,0.0,Đã hủy
DH000211,2026-04-15 13:43:26,CUST-0221,EMP-016,0.0,1183000.0,Hoàn thành
DH000212,2026-03-27 23:40:13,CUST-0008,EMP-010,1820000.0,0.0,Đã hủy
DH000213,2026-05-16 18:52:21,CUST-0276,EMP-001,727000.0,0.0,Đã hủy
DH000214,2026-01-31 11:29:01,CUST-0260,EMP-020,556000.0,0.0,Đã hủy
DH000215,2026-07-14 22:45:47,CUST-0133,EMP-013,633000.0,0.0,Đã hủy
DH000216,2026-06-10 21:51:56,CUST-0215,EMP-011,715000.0,715000.0,Đang xử lý
DH000217,2026-05-23 02:03:19,CUST-0324,EMP-011,346500.0,346500.0,Đang xử lý
DH000218,2026-06-05 23:48:54,CUST-0005,EMP-023,633000.0,0.0,Đã hủy
DH000219,2026-02-24 09:56:16,CUST-0061,EMP-006,393000.0,393000.0,Đang xử lý
DH000220,2026-06-09 14:52:47,CUST-0220,EMP-016,1344000.0,0.0,Đã hủy
DH000221,2026-02-14 23:54:49,CUST-0200,EMP-001,0.0,296000.0,Hoàn thành
DH000222,2026-07-21 17:05:53,CUST-0048,EMP-012,1178000.0,1178000.0,Đang xử lý
DH000223,2026-02-15 21:46:40,CUST-0275,EMP-001,1743000.0,0.0,Đã hủy
DH000224,2026-05-18 01:46:04,CUST-0041,EMP-006,1012000.0,1012000.0,Đang xử lý
DH000225,2026-06-14 08:15:35,CUST-0229,EMP-005,1518000.0,0.0,Đã hủy
DH000226,2026-02-16 09:42:27,CUST-0076,EMP-024,0.0,678000.0,Hoàn thành
DH000227,2026-06-22 09:24:07,CUST-0118,EMP-024,1162000.0,0.0,Đã hủy
DH000228,2026-04-25 10:12:28,CUST-0273,EMP-002,803500.0,803500.0,Đang xử lý
DH000229,2026-05-14 02:56:30,CUST-0064,EMP-022,0.0,2541000.0,Hoàn thành
DH000230,2026-04-19 05:13:51,CUST-0017,EMP-022,1110000.0,1110000.0,Đang xử lý
DH000231,2026-02-23 03:34:52,CUST-0174,EMP-024,0.0,292000.0,Hoàn thành
DH000232,2026-06-13 07:18:45,CUST-0100,EMP-005,1127000.0,0.0,Đã hủy
DH000233,2026-07-19 20:35:55,CUST-0231,EMP-015,556000.0,0.0,Đã hủy
DH000234,2026-06-06 14:57:51,CUST-0331,EMP-021,0.0,1090000.0,Hoàn thành
DH000235,2026-07-19 04:36:30,CUST-0087,EMP-003,1109000.0,0.0,Đã hủy
DH000236,2026-03-14 19:39:16,CUST-0311,EMP-013,0.0,1300000.0,Hoàn thành
DH000237,2026-06-28 19:40:40,CUST-0198,EMP-020,0.0,1980000.0,Hoàn thành
DH000238,2026-03-31 03:31:27,CUST-0320,EMP-008,0.0,534000.0,Hoàn thành
DH000239,2026-04-27 22:38:08,CUST-0203,EMP-015,747000.0,747000.0,Đang xử lý
DH000240,2026-03-16 06:23:56,CUST-0143,EMP-009,428500.0,428500.0,Đang xử lý
DH000241,2026-06-08 13:10:31,CUST-0274,EMP-012,0.0,1411000.0,Hoàn thành
DH000242,2026-01-28 21:23:59,CUST-0283,EMP-004,142000.0,142000.0,Đang xử lý
DH000243,2026-04-24 12:15:12,CUST-0076,EMP-018,852000.0,852000.0,Đang xử lý
DH000244,2026-04-29 07:35:06,CUST-0157,EMP-011,0.0,1726000.0,Hoàn thành
DH000245,2026-03-12 00:36:26,CUST-0130,EMP-013,0.0,1222000.0,Hoàn thành
DH000246,2026-03-18 20:52:37,CUST-0130,EMP-006,0.0,179000.0,Hoàn thành
DH000247,2026-02-26 11:14:09,CUST-0304,EMP-015,0.0,216000.0,Hoàn thành
DH000248,2026-05-31 07:45:03,CUST-0078,EMP-004,201000.0,0.0,Đã hủy
DH000249,2026-02-28 08:17:38,CUST-0291,EMP-007,0.0,1532000.0,Hoàn thành
DH000250,2026-07-03 08:40:29,CUST-0063,EMP-002,0.0,753000.0,Hoàn thành
DH000251,2026-01-29 00:41:55,CUST-0090,EMP-001,0.0,2361000.0,Hoàn thành
DH000252,2026-05-04 11:56:01,CUST-0024,EMP-001,1086000.0,0.0,Đã hủy
DH000253,2026-06-29 14:28:30,CUST-0191,EMP-013,0.0,1300000.0,Hoàn thành
DH000254,2026-03-14 05:48:59,CUST-0164,EMP-021,0.0,2598000.0,Hoàn thành
DH000255,2026-02-21 17:08:40,CUST-0282,EMP-021,0.0,1019000.0,Hoàn thành
DH000256,2026-03-05 10:10:37,CUST-0018,EMP-001,0.0,796000.0,Hoàn thành
DH000257,2026-07-03 14:03:33,CUST-0002,EMP-012,757000.0,757000.0,Đang xử lý
DH000258,2026-01-29 15:55:38,CUST-0039,EMP-011,0.0,1004000.0,Hoàn thành
DH000259,2026-02-09 04:53:35,CUST-0138,EMP-003,0.0,1321000.0,Hoàn thành
DH000260,2026-01-26 04:13:47,CUST-0116,EMP-010,2269000.0,0.0,Đã hủy
DH000261,2026-01-28 18:57:08,CUST-0268,EMP-020,887000.0,887000.0,Đang xử lý
DH000262,2026-04-09 06:04:41,CUST-0284,EMP-005,490000.0,0.0,Đã hủy
DH000263,2026-03-12 07:43:53,CUST-0008,EMP-017,2022000.0,0.0,Đã hủy
DH000264,2026-04-06 13:35:47,CUST-0315,EMP-003,0.0,1718000.0,Hoàn thành
DH000265,2026-07-08 17:39:59,CUST-0186,EMP-015,0.0,630000.0,Hoàn thành
DH000266,2026-02-20 15:16:19,CUST-0012,EMP-003,1702000.0,0.0,Đã hủy
DH000267,2026-05-13 07:23:11,CUST-0155,EMP-003,0.0,2493000.0,Hoàn thành
DH000268,2026-03-27 21:50:19,CUST-0172,EMP-017,0.0,1121000.0,Hoàn thành
DH000269,2026-02-21 15:49:33,CUST-0344,EMP-024,660000.0,0.0,Đã hủy
DH000270,2026-06-05 13:07:39,CUST-0050,EMP-018,0.0,1125000.0,Hoàn thành
DH000271,2026-03-01 05:50:31,CUST-0224,EMP-009,0.0,830000.0,Hoàn thành
DH000272,2026-05-19 23:25:02,CUST-0172,EMP-017,0.0,2472000.0,Hoàn thành
DH000273,2026-02-15 07:16:28,CUST-0137,EMP-005,1071000.0,1071000.0,Đang xử lý
DH000274,2026-01-26 10:17:26,CUST-0259,EMP-005,0.0,682000.0,Hoàn thành
DH000275,2026-06-12 19:06:32,CUST-0255,EMP-001,0.0,2379000.0,Hoàn thành
DH000276,2026-02-05 03:05:52,CUST-0210,EMP-009,536000.0,0.0,Đã hủy
DH000277,2026-03-01 08:38:03,CUST-0143,EMP-016,0.0,1886000.0,Hoàn thành
DH000278,2026-05-06 21:00:40,CUST-0046,EMP-016,0.0,626000.0,Hoàn thành
DH000279,2026-02-12 08:41:15,CUST-0232,EMP-008,0.0,725000.0,Hoàn thành
DH000280,2026-02-06 07:24:55,CUST-0247,EMP-003,598500.0,598500.0,Đang xử lý
DH000281,2026-01-26 01:37:13,CUST-0295,EMP-012,0.0,1220000.0,Hoàn thành
DH000282,2026-04-18 20:41:08,CUST-0162,EMP-006,0.0,2416000.0,Hoàn thành
DH000283,2026-02-21 07:24:42,CUST-0028,EMP-019,0.0,266000.0,Hoàn thành
DH000284,2026-05-21 03:26:33,CUST-0037,EMP-014,950500.0,950500.0,Đang xử lý
DH000285,2026-03-30 09:50:13,CUST-0288,EMP-023,302500.0,302500.0,Đang xử lý
DH000286,2026-04-26 19:23:38,CUST-0291,EMP-017,2214000.0,0.0,Đã hủy
DH000287,2026-03-21 01:12:27,CUST-0305,EMP-009,675000.0,0.0,Đã hủy
